Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
TP53 Network(Homo sapiens)	4/21	0.0000002478074259070304	0.000001858555694302728	-1.3624558186703575	17.978573070380182	CDKN1A;CDKN2A;MDM2;TP53
Integrated Cancer pathway(Homo sapiens)	4/35	0.0000015807305810173346	0.000010777708506936372	-1.4936506715407545	17.08442206290908	RB1;CDK4;MDM2;TP53
Senescence and Autophagy(Homo sapiens)	5/108	0.000004193392762914562	0.000022464604087042298	-1.5860272370442134	16.976152981280784	RB1;CDKN1A;CDKN2A;MDM2;TP53
ATM Signaling Pathway(Homo sapiens)	4/40	0.000002591137734213389	0.00001619461083883368	-1.463860791271289	16.14760251163422	CDKN1A;MDM2;MDM4;TP53
ErbB Signaling Pathway(Homo sapiens)	4/54	0.00000794455111778779	0.00003972275558893895	-1.540290690535372	15.608668710237914	CDKN1A;CCND1;MDM2;TP53
PluriNetWork(Mus musculus)	6/284	0.00002942978424564641	0.0001226241010235267	-1.7107828952031034	15.407972777923343	CDKN1A;USP7;CCND1;CDKN2A;MDM2;TP53
Integrated Breast Cancer Pathway(Homo sapiens)	5/151	0.00002039075715164497	0.0000955816741483358	-1.6607122816109212	15.370771429249814	RB1;CCND1;CDK4;MDM2;TP53
miRNAs involved in DNA damage response(Homo sapiens)	4/71	0.000022235538131249806	0.00009809796234374916	-1.409118485897465	13.005521014419047	CCND3;CDKN1A;CCND1;TP53
Androgen receptor signaling pathway(Homo sapiens)	4/90	0.000054352019834488494	0.00021454744671508616	-1.4416366335369752	12.177475302216376	RB1;CDKN1A;CCND1;MDM2
Wnt Signaling Pathway and Pluripotency(Homo sapiens)	4/100	0.00008083525209168294	0.0002886973288988677	-1.4183064276668695	11.55938420978162	CCND3;CCND2;CCND1;TP53
Spinal Cord Injury(Mus musculus)	4/96	0.0000693152949571262	0.00025993235608922326	-1.3671026545304692	11.28555426257955	RB1;CCND1;CDK4;TP53
Spinal Cord Injury(Homo sapiens)	4/114	0.00013233366446638761	0.0004511374924990487	-1.3909052918146505	10.715170512191458	RB1;CCND1;CDK4;TP53
IL-7 Signaling Pathway(Mus musculus)	3/43	0.00015381872166513635	0.0005015827880384881	-1.1635447785435655	8.840312897096153	RB1;CCND2;CDK4
Wnt Signaling Pathway(Homo sapiens)	3/60	0.00039287090330773934	0.001178612709923218	-1.2340916246092652	8.321994689867424	CCND3;CCND2;CCND1
Wnt Signaling Pathway(Mus musculus)	3/58	0.00035706278584620474	0.00111582120576939	-1.2102427558630615	8.22742950599175	CCND3;CCND2;CCND1
TSH signaling pathway(Homo sapiens)	3/67	0.0005362411442184778	0.0015468494544763783	-1.1996807347352219	7.763775895601978	RB1;CCND3;CDK4
Apoptosis(Mus musculus)	3/79	0.0008529955672408602	0.0023694321312246118	-1.1918073601417813	7.20460058370909	CDKN2A;MDM2;TP53
Apoptosis(Homo sapiens)	3/86	0.0010830862295260226	0.0029011238290875606	-1.218099395613942	7.116937069849588	CDKN2A;MDM2;TP53
Wnt Signaling Pathway and Pluripotency(Mus musculus)	3/93	0.0013492917292872507	0.0034895475757428895	-1.163201902069241	6.581376803399086	CCND3;CCND2;CCND1
Focal Adhesion(Mus musculus)	3/183	0.008775273724553093	0.019943803919438848	-1.217977455386602	4.768182920515964	CCND3;CCND2;CCND1
Focal Adhesion(Homo sapiens)	3/186	0.009170135791653159	0.02022824071688197	-1.2193431277428006	4.756261981113765	CCND3;CCND2;CCND1
Aryl Hydrocarbon Receptor(Homo sapiens)	2/43	0.00492091899030009	0.011533403883515836	-0.7416793165752055	3.3097497119803867	RB1;CDKN1A
PodNet: protein-protein interactions in the podocyte(Mus musculus)	3/306	0.03401626387973167	0.06895188624269932	-1.1610954838811884	3.1051714326780107	CDKN1A;CCND1;CDKN2A
AMPK Signaling(Homo sapiens)	2/69	0.011923135102168091	0.024839864796183525	-0.8234351314313659	3.0428443411849946	CDKN1A;TP53
Notch Signaling Pathway(Homo sapiens)	2/61	0.009472973909404164	0.020299229805866067	-0.7551392282262922	2.9429077087518287	CDKN1A;CCND1
miR-targeted genes in epithelium - TarBase(Homo sapiens)	3/362	0.05185511553209278	0.09485691865626728	-1.0441846907857377	2.4594576284058163	RB1;CCND1;CDKN2A
Adipogenesis(Homo sapiens)	2/134	0.0403302860108621	0.07755824232858097	-0.9246192221542979	2.3639981079689556	RB1;CDKN1A
Ovarian Infertility Genes(Homo sapiens)	2/32	0.002830561876705792	0.006848133572675303	-0.20845269577421388	1.038882195829298	CCND2;CDK4
Ovarian Infertility Genes(Mus musculus)	2/31	0.0026676858075670913	0.006669214518917729	-0.2015495925845623	1.009814489042861	CCND2;CDK4
IL-5 Signaling Pathway(Mus musculus)	1/68	0.15255245795982805	0.1864683045428555	-0.16159729928984004	0.2714016950862517	CCND3
Leptin signaling pathway(Homo sapiens)	1/61	0.1381243967204636	0.17860913369025463	-0.14987474915007487	0.25816756916783135	CCND1
Oncostatin M Signaling Pathway(Homo sapiens)	1/65	0.14639668852285045	0.18299586065356307	-0.0895338963035177	0.15205467705942619	TP53
MAPK Signaling Pathway(Homo sapiens)	1/173	0.34376099254429954	0.34376099254429954	-0.11741811056303829	0.12538007438441884	TP53
IL-6 signaling Pathway(Mus musculus)	1/97	0.2099695332869157	0.22822775357273445	-0.05924643398225657	0.08753134686947155	RB1
Estrogen signalling(Mus musculus)	1/74	0.16474052371338957	0.19008521966929565	-0.051138269581577085	0.08490398852865591	CCND1
MAPK signaling pathway(Mus musculus)	1/155	0.31412662232097127	0.3183715766766601	-0.06682682162445522	0.07648570967904851	TP53
Alpha6-Beta4 Integrin Signaling Pathway(Mus musculus)	1/64	0.1443355560018718	0.18299586065356307	-0.04403453282680219	0.07478348362885937	CDKN1A
Regulation of toll-like receptor signaling pathway(Homo sapiens)	1/146	0.2988478789320544	0.3070354920534805	-0.056839203509346216	0.06711527274225938	USP7
ESC Pluripotency Pathways(Mus musculus)	1/116	0.24560588523339083	0.25944283651414524	-0.030033049777650953	0.04052115789885034	MDM2
Primary Focal Segmental Glomerulosclerosis FSGS(Homo sapiens)	1/70	0.15663337581599862	0.1864683045428555	0.012253230246648475	-0.02057922671874511	CDKN1A
Wnt Signaling Pathway NetPath(Mus musculus)	1/106	0.22704036014106907	0.24325752872257403	0.022641713304271827	-0.032007109507703045	CCND1
Alzheimers Disease(Mus musculus)	1/73	0.16272054916461337	0.19008521966929565	0.023157803608680715	-0.03844850261903714	TP53
Adipogenesis genes(Mus musculus)	1/129	0.2691222535192542	0.2803356807492231	0.03427312484202795	-0.043587447464630405	RB1
Apoptosis Modulation and Signaling(Homo sapiens)	1/80	0.17676565273926897	0.19715530312186072	0.02718820180070694	-0.04414721026114238	CDKN2A
Alzheimers Disease(Homo sapiens)	1/79	0.17477269391681735	0.19715530312186072	0.045667930001436235	-0.07415391877487518	TP53
IL-2 Signaling Pathway(Homo sapiens)	1/42	0.0978045426806644	0.14383020982450645	0.04106053385536373	-0.07962137523172358	CCND2
Folate Metabolism(Homo sapiens)	1/70	0.15663337581599862	0.1864683045428555	0.05139042740340963	-0.08630991464452797	TP53
Delta-Notch Signaling Pathway(Mus musculus)	1/81	0.17875414149715374	0.19715530312186072	0.10691505443239177	-0.17360476513697032	TP53
Wnt Signaling Pathway Netpath(Homo sapiens)	1/51	0.11711686278243921	0.1568529412264811	0.10107721409085023	-0.18724014084006707	CCND1
ErbB signaling pathway(Mus musculus)	1/45	0.10428514206577173	0.1475733142440166	0.10743151204976734	-0.20556269754288287	CDKN1A
Id Signaling Pathway(Mus musculus)	1/51	0.11711686278243921	0.1568529412264811	0.17026446835837525	-0.31540583426474966	RB1
Apoptosis-related network due to altered Notch3 in ovarian cancer(Homo sapiens)	1/52	0.11923881367027273	0.1568931758819378	0.17595990820429638	-0.3259112023680684	CDKN1A
Tryptophan metabolism(Homo sapiens)	1/46	0.10643571795318212	0.14782738604608628	0.23026538252562032	-0.44020063359606537	MDM2
Tryptophan metabolism(Mus musculus)	1/43	0.09996956434684148	0.1441868716540983	0.2812897447822197	-0.5447584061649398	MDM2
FAS pathway and Stress induction of HSP regulation(Homo sapiens)	1/38	0.08909600497814406	0.13364400746721608	0.3337319658441947	-0.6716608363976678	RB1
FAS pathway and Stress induction of HSP regulation(Mus musculus)	1/36	0.08471252551990177	0.13236332112484653	0.3577065099008529	-0.7233557872013046	RB1
Amyotrophic lateral sclerosis (ALS)(Homo sapiens)	1/37	0.0869067078233983	0.13302047115826268	0.3639843262587022	-0.7342481989703972	TP53
Gastric cancer network 2(Homo sapiens)	1/35	0.08251344801204909	0.1316703957639081	0.42676494774277124	-0.8652460788240568	TP53
Oxidative Damage(Mus musculus)	1/32	0.07588674335568574	0.12647790559280958	0.42353809789525115	-0.875744492380436	CDKN1A
IL-7 Signaling Pathway(Homo sapiens)	1/25	0.060251209654284876	0.10759144581122299	0.41928477061817676	-0.9347593939172717	CCND1
Fluoropyrimidine Activity(Homo sapiens)	1/35	0.08251344801204909	0.1316703957639081	0.5633488499065847	-1.1421635866999833	TP53
Arylhydrocarbon receptor (AhR) signaling pathway(Homo sapiens)	1/29	0.06921561784014746	0.11798116677297864	0.6064499272570065	-1.2961231423025914	CDKN1A
Metastatic brain tumor(Homo sapiens)	1/28	0.06698199059576779	0.11682905336471125	0.7496173780547265	-1.609461115260566	TP53
SRF and miRs in Smooth Muscle Differentiation and Proliferation(Homo sapiens)	1/18	0.044370322727067445	0.08319435511325146	1.6574278662125956	-4.121319990303946	CCND2
ID signaling pathway(Homo sapiens)	1/16	0.03978736600973499	0.07755824232858097	2.125931712477941	-5.435425119390801	RB1
