Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
IL-5 Signaling Pathway(Mus musculus)	5/68	0.0000010094539707359794	0.000004187364619349248	-1.2223193706645774	15.136517354195293	KRAS;PTPN11;PIK3R1;HRAS;JAK1
Integrated Pancreatic Cancer Pathway(Homo sapiens)	6/195	0.000008915742494614915	0.00002773786553880196	-1.2051284064734324	12.645065402156849	PDGFRA;PIK3CA;KRAS;SOS1;CRK;EGFR
B Cell Receptor Signaling Pathway(Homo sapiens)	5/93	0.000004387855874319642	0.000015357495560118747	-1.1334496981944784	12.563050922698103	PTPN11;PIK3R1;SOS1;CRK;HRAS
TCR Signaling Pathway(Homo sapiens)	5/89	0.000003569047015727428	0.000012894621476176515	-1.1127304384825838	12.52789849193266	PTPN11;PIK3R1;SOS1;CRK;HRAS
MAPK signaling pathway(Mus musculus)	5/155	0.000048056646418598616	0.00012815105711626299	-1.0095012102444327	9.047453560842264	NRAS;NF1;KRAS;CRK;EGFR
PDGF Pathway(Homo sapiens)	4/35	0.0000028429161576483342	0.000010979538264021152	-0.7868633543490773	8.985568115009647	PTPN11;PIK3R1;SOS1;JAK1
MAPK Signaling Pathway(Homo sapiens)	5/173	0.00008010105255376277	0.00019936261968936514	-0.9919507749283754	8.451802683928616	NRAS;NF1;KRAS;CRK;EGFR
IL-7 Signaling Pathway(Mus musculus)	4/43	0.000006084636439872314	0.000019470836607591406	-0.6906036131280937	7.49069615739745	PIK3R1;SOS1;HRAS;JAK1
TSH signaling pathway(Homo sapiens)	4/67	0.00003186507023298453	0.00009150994528446838	-0.789060851716157	7.337526492001218	PIK3CA;PIK3R1;HRAS;JAK1
Interferon type I signaling pathways(Homo sapiens)	4/61	0.000022423692376198203	0.00006787712286849186	-0.755423154829838	7.2504090458531145	PTPN11;PIK3R1;CRK;JAK1
IL-6 signaling pathway(Homo sapiens)	4/43	0.000006084636439872314	0.000019470836607591406	-0.6566499524206533	7.12241462663803	PTPN11;PIK3R1;SOS1;JAK1
Alpha6-Beta4 Integrin Signaling Pathway(Mus musculus)	4/64	0.000026839984380675336	0.00007910732238514836	-0.7399936076460609	6.989021412115433	PIK3CA;PIK3R1;EGFR;PTK2
Interleukin-11 Signaling Pathway(Homo sapiens)	4/40	0.000004653772188638574	0.000015794620761440005	-0.6173900837367827	6.825766683523725	PTPN11;PIK3R1;HRAS;JAK1
Integrin-mediated Cell Adhesion(Mus musculus)	4/97	0.00012745312986543324	0.0003037180967006069	-0.6452897832059923	5.226466910340695	SOS1;CRK;HRAS;PTK2
Integrin-mediated Cell Adhesion(Homo sapiens)	4/100	0.00014282828577304326	0.00033072623616164546	-0.6508713085116082	5.216225601585088	SOS1;CRK;HRAS;PTK2
Integrated Breast Cancer Pathway(Homo sapiens)	4/151	0.0006604862916800618	0.0014504796993758218	-0.6468081885483528	4.2274483817414295	NF1;KRAS;EGFR;JAK1
Estrogen signalling(Mus musculus)	3/74	0.0010701607131622718	0.00226147169573914	-0.42058429987005763	2.562089986216769	PIK3CA;SOS1;HRAS
PluriNetWork(Mus musculus)	4/284	0.0064279694698342665	0.012341361363209338	-0.5585505254384386	2.454717260161829	PTPN11;SOS1;HRAS;JAK1
Androgen receptor signaling pathway(Homo sapiens)	3/90	0.001848567479655613	0.0037643555949350665	-0.37723585808925625	2.1057979300677507	PIK3R1;EGFR;PTK2
PodNet: protein-protein interactions in the podocyte(Mus musculus)	4/306	0.008330272918784727	0.015294927326293268	-0.47648742017463314	1.99182893957284	PIK3CA;PIK3R1;CRK;PTK2
G Protein Signaling Pathways(Mus musculus)	3/88	0.0017363699910204963	0.003601359981375844	-0.3430272193658271	1.930023348393299	NRAS;KRAS;HRAS
G Protein Signaling Pathways(Homo sapiens)	3/96	0.0022121784952345504	0.004424356990469101	-0.3537758876026063	1.9176883042279216	NRAS;KRAS;HRAS
BDNF signaling pathway(Homo sapiens)	3/142	0.006501252860976347	0.012341361363209338	-0.3974689689345965	1.7467962055117876	PTPN11;PIK3R1;HRAS
TSLP Signaling Pathway(Homo sapiens)	3/47	0.0002999096691430595	0.0006717976588804533	-0.16164900764442539	1.1809354518488004	PIK3CA;PTPN11;JAK1
miR-targeted genes in epithelium - TarBase(Homo sapiens)	4/362	0.014783158282910323	0.024348731289499354	-0.30937685445686125	1.149420258122105	DOCK5;KIT;KRAS;EGFR
Toll-like receptor signaling pathway(Homo sapiens)	2/104	0.03278231549848102	0.04961647751121452	0.028231096898401566	-0.08479018807827866	PIK3CA;PIK3R1
MicroRNAs in cardiomyocyte hypertrophy(Homo sapiens)	2/109	0.03568107123220094	0.05328373304008674	0.06845344565741614	-0.20071400394464853	PIK3CA;PIK3R1
MicroRNAs in Cardiomyocyte Hypertrophy(Mus musculus)	2/80	0.02031846063815902	0.032509537021054434	0.07376983243182679	-0.252751807019517	PIK3CA;PIK3R1
Regulation of toll-like receptor signaling pathway(Homo sapiens)	2/146	0.05998253301680803	0.08503852782129746	0.11808028144342424	-0.2910266668190422	PIK3CA;PIK3R1
TNF-alpha NF-kB Signaling Pathway(Mus musculus)	2/179	0.0852958009867692	0.10975105030902771	0.28408982974575386	-0.6277080290801353	PTPN11;PTK2
Delta-Notch Signaling Pathway(Mus musculus)	2/81	0.020787290789119332	0.03279121927297697	0.19709379072863614	-0.6735866560699131	PIK3R1;EGFR
AMPK Signaling(Homo sapiens)	2/69	0.015470271056081775	0.02511116461277042	0.2331369355507564	-0.8589796864571272	PIK3CA;PIK3R1
IL-1 signaling pathway(Homo sapiens)	2/58	0.011212468290948348	0.018743230575913657	0.21948262175020794	-0.8728654048266739	PTPN11;PIK3R1
RANKL/RANK Signaling Pathway(Homo sapiens)	2/54	0.009817437398022459	0.016916199824284852	0.2570566101949673	-1.048658211861652	PIK3R1;PTK2
TGF Beta Signaling Pathway(Homo sapiens)	2/55	0.010158342693046045	0.017238399721532682	0.3396588153286505	-1.379223966273461	HRAS;JAK1
TGF Beta Signaling Pathway(Mus musculus)	2/52	0.009151496376026028	0.01626932689071294	0.34987922403446775	-1.440968392788269	HRAS;JAK1
Spinal Cord Injury(Homo sapiens)	1/114	0.2712962338862656	0.2712962338862656	1.1311775965203292	-1.4756708798995857	EGFR
Senescence and Autophagy(Homo sapiens)	1/108	0.2590483165369038	0.2613820851543534	1.1178733652993418	-1.4999311971600557	HRAS
DNA Damage Response (only ATM dependent)(Homo sapiens)	1/93	0.22757885745932357	0.2317166548676749	1.173334532599963	-1.7156966505223363	SOS1
TNF alpha Signaling Pathway(Homo sapiens)	1/86	0.21246820211257683	0.22033739478341302	1.1559319399148846	-1.748457213379009	SOS1
Corticotropin-releasing hormone(Homo sapiens)	1/90	0.22113645514340938	0.2272227795968977	1.1899056791443343	-1.7632311915332202	PTK2
Apoptosis(Homo sapiens)	1/86	0.21246820211257683	0.22033739478341302	1.2094761163971393	-1.8294478827879106	PIK3R1
Apoptosis(Mus musculus)	1/79	0.19708075449931584	0.2102194714659369	1.1811444105526476	-1.8421165926569723	PIK3R1
Allograft Rejection(Homo sapiens)	1/82	0.20370956928175737	0.2152402996184606	1.2153376499403468	-1.866758876221658	PDGFRA
Cardiac Progenitor Differentiation(Homo sapiens)	2/53	0.009481812768905236	0.016593172345584162	0.46135536027172114	-1.890986729299024	PDGFRA;KIT
Type II interferon signaling (IFNG)(Homo sapiens)	2/50	0.008506899054094231	0.01536730151707345	0.506422948288668	-2.114575758549587	PTPN11;JAK1
AGE/RAGE pathway(Homo sapiens)	1/66	0.16775354238153128	0.18241161890030586	1.2940809516776683	-2.201865155647418	EGFR
Primary Focal Segmental Glomerulosclerosis FSGS(Homo sapiens)	1/70	0.1768825631750663	0.19048891418853292	1.3465956492554993	-2.2328727645295343	PTK2
SREBP signalling(Homo sapiens)	1/64	0.16315351886902754	0.17914896189540278	1.4059603610427753	-2.4176017469034328	PIK3CA
Notch Signaling Pathway(Homo sapiens)	1/61	0.1562087699389574	0.17322160626894287	1.4965430323877862	-2.6237146159575206	PIK3R1
Type II interferon signaling (IFNG)(Mus musculus)	2/44	0.00670340159143232	0.012513016304006998	0.6538621056009906	-2.8645606469621163	PTPN11;JAK1
MAPK Cascade(Mus musculus)	3/29	0.00007820051964584972	0.00019905586818943566	0.39453074344233047	-3.362161416845068	NRAS;KRAS;HRAS
Apoptosis-related network due to altered Notch3 in ovarian cancer(Homo sapiens)	1/52	0.13504893884815675	0.15125481150993556	1.7989408461520684	-3.3978203491640455	PTK2
MAPK Cascade(Homo sapiens)	3/30	0.00008587773822488487	0.0002090936235040675	0.4162973696046444	-3.5271745658412668	NRAS;KRAS;HRAS
Heart Development(Homo sapiens)	1/47	0.12307955012677894	0.1392415112545378	2.083817228986665	-4.108340194112541	PTPN11
IL-9 Signaling Pathway(Mus musculus)	3/24	0.000046500991526857545	0.00012702709880507427	0.45905036159539664	-4.118191343510836	PTPN11;PIK3R1;JAK1
Regulation of Microtubule Cytoskeleton(Homo sapiens)	1/44	0.11582356498180299	0.13373442554599932	2.082757896161186	-4.19029924604327	PIK3CA
Hair Follicle Development: Induction (Part 1 of 3)(Homo sapiens)	1/43	0.1133924216637556	0.13368369711937503	2.0889028106379244	-4.203454712825478	EGFR
Differentiation Pathway(Homo sapiens)	1/47	0.12307955012677894	0.1392415112545378	2.1494268615424796	-4.237692560913484	KIT
Heart Development(Mus musculus)	1/44	0.11582356498180299	0.13373442554599932	2.2524728994096344	-4.531748749830995	PTPN11
Extracellular vesicle-mediated signaling in recipient cells(Homo sapiens)	3/28	0.00007098708915735857	0.0001848966043168409	0.5387170650228721	-4.6306577018761255	KRAS;HRAS;EGFR
G13 Signaling Pathway(Homo sapiens)	1/41	0.10851132246205054	0.12929008633776234	2.4443232200832132	-5.000343866673384	PIK3CA
IL-1 Signaling Pathway(Mus musculus)	1/36	0.09619812884263679	0.11585151000403571	2.3699107197356044	-5.10821456712933	PTPN11
Integrated Cancer pathway(Homo sapiens)	1/35	0.09371643501398345	0.1140895730605016	2.5535660484934515	-5.543208172918239	JAK1
p38 MAPK Signaling Pathway(Homo sapiens)	1/34	0.09122835384589904	0.1140895730605016	2.5749979121420603	-5.589731849800584	HRAS
IL17 signaling pathway(Homo sapiens)	1/30	0.08121184846297476	0.10576426776573457	2.5763779960958533	-5.787942794107714	JAK1
G13 Signaling Pathway(Mus musculus)	1/35	0.09371643501398345	0.1140895730605016	2.6911599254186624	-5.8418930272087	PIK3CA
Gastric cancer network 2(Homo sapiens)	1/35	0.09371643501398345	0.1140895730605016	2.86893348115701	-6.227798779550187	EGFR
p38 MAPK Signaling Pathway(Mus musculus)	1/32	0.08623296809995033	0.10975105030902771	2.8357157558213726	-6.265629254349346	HRAS
Angiogenesis(Homo sapiens)	3/23	0.000041402952880046644	0.0001159282680641306	0.7106821789645231	-6.4405849186201065	PDGFRA;PIK3CA;PTK2
EPO Receptor Signaling(Mus musculus)	1/26	0.07109191221348576	0.09593125503506512	2.783694467659104	-6.525323444246004	SOS1
EPO Receptor Signaling(Homo sapiens)	1/26	0.07109191221348576	0.09593125503506512	2.793092511090203	-6.5473536181186995	SOS1
IL-7 Signaling Pathway(Homo sapiens)	2/25	0.002342846953449662	0.004603488750637932	1.3220297978176017	-7.1137641293109155	PIK3R1;JAK1
Arylhydrocarbon receptor (AhR) signaling pathway(Homo sapiens)	1/29	0.0786915998046581	0.10368775503672598	3.1695691352322144	-7.183420367311915	EGFR
Estrogen signaling pathway(Homo sapiens)	1/23	0.06343348460901134	0.08880687845261588	3.0531841489744123	-7.392647826194177	PIK3CA
Metastatic brain tumor(Homo sapiens)	1/28	0.07616487124853948	0.10155316166471931	3.390946210671396	-7.755680133853599	PIK3R1
IL1 and megakaryotyces in obesity(Homo sapiens)	1/24	0.0659928465642749	0.09124936808887393	3.5241344670369057	-8.437338997162719	PIK3CA
Transcriptional activation by NRF2(Homo sapiens)	1/16	0.04533300241766678	0.06509354193305998	5.2364395516758035	-14.30558597422926	PIK3CA
IL-9 Signaling Pathway(Homo sapiens)	2/16	0.001035932588740117	0.0022312394219017903	2.3508453565766345	-14.35237649465604	PIK3R1;JAK1
Keap1-Nrf2(Mus musculus)	1/14	0.04010151222844083	0.05832947233227757	6.153772644887223	-17.48685440270246	PIK3CA
Osteoblast Signaling(Homo sapiens)	1/14	0.04010151222844083	0.05832947233227757	6.730410978208779	-19.125457445047363	PDGFRA
Type III interferon signaling(Homo sapiens)	1/10	0.029557801672124625	0.04534895599010901	7.816220907475703	-24.178448604172974	JAK1
Osteoblast(Mus musculus)	1/10	0.029557801672124625	0.04534895599010901	8.54665507531796	-26.437950375548766	PDGFRA
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer(Homo sapiens)	2/5	0.00014469272832071987	0.00033072623616164546	5.195434547127291	-41.637353408706396	EGFR;JAK1
