"name","hgnc_symbol","som.freq","amp.freq","del.freq","Freq","Type"
"9606.ENSP00000370839","SGCB",0,15,0,15,"ALTERED"
"9606.ENSP00000370912","TEC",1,11,0,12,"ALTERED"
"9606.ENSP00000372437","TPTE2",7,1,1,9,"ALTERED"
"9606.ENSP00000373399","PIP5KL1",0,0,0,0,"LINKER"
"9606.ENSP00000373825","DNAH2",13,0,3,16,"ALTERED"
"9606.ENSP00000373884","RYR3",17,0,4,21,"ALTERED"
"9606.ENSP00000374309","LAMA1",8,0,1,9,"ALTERED"
"9606.ENSP00000377218","IRF2",0,0,0,0,"LINKER"
"9606.ENSP00000377380","ARHGAP9",2,22,0,24,"ALTERED"
"9606.ENSP00000380073","IRF9",0,0,0,0,"LINKER"
"9606.ENSP00000380378","PAFAH1B1",0,0,0,0,"LINKER"
"9606.ENSP00000381008","MUC16",44,1,0,45,"ALTERED"
"9606.ENSP00000381098","GRIP1",7,7,2,16,"ALTERED"
"9606.ENSP00000382863","CHD8",10,0,0,10,"ALTERED"
"9606.ENSP00000384048","PAXIP1",0,0,0,0,"LINKER"
"9606.ENSP00000384330","MYH8",7,0,1,8,"ALTERED"
"9606.ENSP00000384582","GPR98",14,0,1,15,"ALTERED"
"9606.ENSP00000384675","SOS1",0,0,0,0,"LINKER"
"9606.ENSP00000386896","ITGA6",0,0,0,0,"LINKER"
"9606.ENSP00000392423","RELN",13,0,0,13,"ALTERED"
"9606.ENSP00000394932","CDKN2A",2,0,165,167,"ALTERED"
"9606.ENSP00000400365","LAMA2",7,0,0,7,"ALTERED"
"9606.ENSP00000400591","SNRPE",0,11,0,11,"ALTERED"
"9606.ENSP00000401303","SHC1",0,0,0,0,"LINKER"
"9606.ENSP00000401514","DNAH1",0,0,0,0,"LINKER"
"9606.ENSP00000408910","DCTN2",1,27,0,28,"ALTERED"
"9606.ENSP00000409667","SYNJ1",0,0,0,0,"LINKER"
"9606.ENSP00000411940","IFNA17",0,0,67,67,"ALTERED"
"9606.ENSP00000412897","IFNA4",0,0,66,66,"ALTERED"
"9606.ENSP00000417281","MDM2",2,25,0,27,"ALTERED"
"9606.ENSP00000417498","MUC4",13,1,0,14,"ALTERED"
"9606.ENSP00000428340","ANGPT1",0,0,0,0,"LINKER"
"9606.ENSP00000436812","MUC5B",10,0,3,13,"ALTERED"
"9606.ENSP00000447803","DDIT3",1,26,0,27,"ALTERED"
"9606.ENSP00000447879","ZBED6",0,11,0,11,"ALTERED"
"9606.ENSP00000449241","AGAP2",1,46,0,47,"ALTERED"
"9606.ENSP00000451040","PGF",0,0,0,0,"LINKER"
"9606.ENSP00000455307","CHD9",10,0,1,11,"ALTERED"
"9606.ENSP00000455507","OBSCN",14,0,0,14,"ALTERED"
