HGNC.symbol,UniProt.Ac
GPR156,Q8NFN8
SLC22A16,Q86VW1
DOCK7,Q96N67
ANKRD63,C9JTQ0
SPINK14,Q6IE38
SSTR3,P32745
ZNF324B,Q6AW86
TSG101,Q99816
HYDIN,Q4G0P3
OLFM4,Q6UX06
KAT8,Q9H7Z6
SEPP1,P49908
CLIP1,P30622
PHYHIP,Q92561
RECK,O95980
SSH2,Q76I76
SPINK6,Q6UWN8
CLEC7A,Q9BXN2
MEA1,Q16626
PRR20A,P86496
RPL9,P32969
DHDDS,Q86SQ9
C15orf52,Q6ZUT6
CPT1A,P50416
CHRNG,P07510
PRAME,P78395
LZTFL1,Q9NQ48
TIGD1,Q96MW7
TP53BP2,Q13625
RPS10,P46783
RAC2,P15153
PRR20B,P86481
SERINC4,A6NH21
FLYWCH1,Q4VC44
BAZ2B,Q9UIF8
PTPN20A,Q4JDL3
USP42,Q9H9J4
H2AFB1,P0C5Y9
FRAS1,Q86XX4
PHGR1,C9JFL3
GLIPR2,Q9H4G4
F8A1,P23610
HRC,P23327
ANGPTL3,Q9Y5C1
LYSMD3,Q7Z3D4
GOLGA3,Q08378
HYPK,Q9NX55
PRR20C,P86479
FBXO21,O94952
DISP2,A7MBM2
GLP2R,O95838
CCIN,Q13939
MRPL21,Q7Z2W9
PARPBP,Q9NWS1
RHEB,Q15382
PKM,P14618
POLR3D,P05423
LRRC58,Q96CX6
PRR20D,P86480
C10orf129,Q6P461
TLR3,O15455
KLHDC3,Q9BQ90
GANAB,Q14697
WDR88,Q6ZMY6
PRR20E,P86478
MFAP1,P55081
EIF4E2,O60573
MSI2,Q96DH6
PCSK7,Q16549
PCDH17,O14917
RAB33A,Q14088
SLC44A2,Q8IWA5
GMDS,O60547
FOXP1,Q9H334
PIGH,Q14442
CYTH4,Q9UIA0
FBXO28,Q9NVF7
FUNDC2,Q9BWH2
SMCHD1,A6NHR9
LRP3,O75074
CLTA,P09496
KNSTRN,Q9Y448
DDIT4,Q9NX09
UVSSA,Q2YD98
DEGS1,O15121
KREMEN2,Q8NCW0
HGSNAT,Q68CP4
C1orf86,Q6NZ36
ATG4C,Q96DT6
ELFN2,Q5R3F8
NAA20,P61599
UBA1,P22314
FAM170A,A1A519
MRPS27,Q92552
GGTLC2,Q14390
SLC7A10,Q9NS82
PRSS8,Q16651
FOXD3,Q9UJU5
WDR76,Q9H967
PPP1R35,Q8TAP8
MTCP1,P56278
CAD,P27708
SRP68,Q9UHB9
CEBPA,P49715
TDRKH,Q9Y2W6
RAD52,P43351
CEP72,Q9P209
TGOLN2,O43493
TNMD,Q9H2S6
ZNF280C,Q8ND82
CEBPG,P53567
ITGB1BP1,O14713
MFNG,O00587
DOPEY1,Q5JWR5
SIGLEC15,Q6ZMC9
HACL1,Q9UJ83
RRP36,Q96EU6
WBP1L,Q9NX94
RPL30,P62888
ST5,P78524
SEMA3A,Q14563
ATXN7L3B,Q96GX2
CDK19,Q9BWU1
RNF214,Q8ND24
ARG2,P78540
CYP17A1,P05093
DNAJB12,Q9NXW2
RNF167,Q9H6Y7
ASAH2B,P0C7U1
SPINK13,Q1W4C9
IGHMBP2,P38935
PRSS36,Q5K4E3
DDIT3,P35638
TSPAN6,O43657
FRMD5,Q7Z6J6
ALG6,Q9Y672
GNE,Q9Y223
KCNC2,Q96PR1
EFHD1,Q9BUP0
HMGN2,P05204
C10orf32,Q96B45
TRAPPC6B,Q86SZ2
LINGO4,Q6UY18
DLK1,P80370
C7orf61,Q8IZ16
VTI1B,Q9UEU0
ZNF324,O75467
C3orf58,Q8NDZ4
SPINK7,P58062
SKI,P12755
PROC,P04070
MRGPRD,Q8TDS7
FAM196B,A6NMK8
STAT4,Q14765
PIWIL2,Q8TC59
TSC22D4,Q9Y3Q8
PKMYT1,Q99640
FOXI1,Q12951
CMC4,P56277
PEPD,P12955
SUPT16H,Q9Y5B9
CCR9,P51686
TRPM4,Q8TD43
CARD10,Q9BWT7
SOCS6,O14544
CRNKL1,Q9BZJ0
LIAS,O43766
CRIPAK,Q8N1N5
MRGPRF,Q96AM1
RPL29,P47914
ZNF446,Q9NWS9
NKX1-1,Q15270
C5orf58,C9J3I9
PFKL,P17858
ACTG2,P63267
SPINK9,Q5DT21
SYT10,Q6XYQ8
FAM53A,Q6NSI3
PDLIM1,O00151
EPG5,Q9HCE0
FSTL1,Q12841
CDC42EP1,Q00587
DUSP7,Q16829
CDK16,Q00536
CBLN2,Q8IUK8
SYNPO2,Q9UMS6
ANXA2R,Q3ZCQ2
CMTR2,Q8IYT2
NUDCD3,Q8IVD9
PRR16,Q569H4
GPR98,Q8WXG9
A1CF,Q9NQ94
MORN1,Q5T089
SLC27A5,Q9Y2P5
MBD6,Q96DN6
NYAP1,Q6ZVC0
LGALS2,P05162
SEMA3B,Q13214
ITGB3BP,Q13352
PAQR4,Q8N4S7
CYTH3,O43739
GPR65,Q8IYL9
SEMA3D,O95025
DMWD,Q09019
ZBTB45,Q96K62
RNF38,Q9H0F5
SLBP,Q14493
CLDN9,O95484
EMILIN2,Q9BXX0
LINC00696,Q6ZRV3
RORC,P51449
NETO1,Q8TDF5
CLDN6,P56747
DIAPH3,Q9NSV4
RSPH6A,Q9H0K4
NVL,O15381
SIRT7,Q9NRC8
SLC25A14,O95258
PNN,Q9H307
BRCC3,P46736
KCNK10,P57789
PACSIN1,Q9BY11
TTLL4,Q14679
IGLL5,P0CG04
TTC7A,Q9ULT0
TNFRSF12A,Q9NP84
CALB2,P22676
BTD,P43251
ZNF131,P52739
C2CD4D,B7Z1M9
TPCN2,Q8NHX9
LPIN2,Q92539
CAPS2,Q9BXY5
RPS6KA1,Q15418
C8orf47,Q6P6B1
IVD,P26440
THEM5,Q8N1Q8
CASC4,Q6P4E1
CHST8,Q9H2A9
MYOZ2,Q9NPC6
EFCAB7,A8K855
TTN,Q8WZ42
ALG10,Q5BKT4
POC1A,Q8NBT0
UEVLD,Q8IX04
RETSAT,Q6NUM9
SLC39A14,Q15043
DST,Q03001
HCFC1R1,Q9NWW0
AS3MT,Q9HBK9
FAM149A,A5PLN7
GGA1,Q9UJY5
THEM4,Q5T1C6
PRKAG2,Q9UGJ0
CUL7,Q14999
BAHD1,Q8TBE0
TRIM28,Q13263
CNIH4,Q9P003
AGFG2,O95081
RTDR1,Q9UHP6
TDRD3,Q9H7E2
ANXA3,P12429
RER1,O15258
FYCO1,Q9BQS8
GRK5,P34947
CCDC182,A6NF36
FTMT,Q8N4E7
TMEM129,A0AVI4
USP11,P51784
S100A10,P60903
ZNF157,P51786
KCTD15,Q96SI1
MRPS23,Q9Y3D9
C17orf78,Q8N4C9
INTS5,Q6P9B9
USP53,Q70EK8
MYEOV,Q96EZ4
PCDH20,Q8N6Y1
SP9,P0CG40
GNAZ,P19086
SRFBP1,Q8NEF9
PSTPIP2,Q9H939
LETMD1,Q6P1Q0
HRSP12,P52758
ZNF41,P51814
S100A11,P31949
FBXO15,Q8NCQ5
PGM1,P36871
SPTY2D1,Q68D10
PFN1,P07737
PCDH9,Q9HC56
CHST14,Q8NCH0
MELK,Q14680
CYC1,P08574
RDH11,Q8TC12
TCHHL1,Q5QJ38
C11orf48,Q9BQE6
CXorf24,Q8TB33
ECHDC3,Q96DC8
TMEM86A,Q8N2M4
ALG10B,Q5I7T1
CUEDC1,Q9NWM3
TACC3,Q9Y6A5
CCND1,P24385
TCHH,Q07283
RAB36,O95755
ZNF23,P17027
VBP1,P61758
THOC6,Q86W42
SPIDR,Q14159
SYMPK,Q92797
CYP4V2,Q6ZWL3
CIR1,Q86X95
RPTN,Q6XPR3
SLC30A3,Q99726
PTCD2,Q8WV60
C15orf57,Q9BV29
ROR1,Q01973
POP1,Q99575
CHMP2A,O43633
LOX,P28300
PARP6,Q2NL67
KLHL1,Q9NR64
PXN,P49023
HRNR,Q86YZ3
SH3BP1,Q9Y3L3
IGSF22,Q8N9C0
RAMP2,O60895
GRM3,Q14832
PEX10,O60683
RCVRN,P35243
CSH1,P01243
METTL12,A8MUP2
ARAF,P10398
NDUFB4,O95168
SPDEF,O95238
ANKRD28,O15084
ILF3,Q12906
SHARPIN,Q9H0F6
UBE2U,Q5VVX9
CTDSPL2,Q05D32
ADIPOQ,Q15848
WDR26,Q9H7D7
CCDC64B,A1A5D9
FLG,P20930
UBE2M,P61081
BMP2K,Q9NSY1
PLOD2,O00469
FBXO38,Q6PIJ6
SLC6A16,Q9GZN6
C11orf83,Q6UW78
SYN1,P17600
PDXP,Q96GD0
RAB39B,Q96DA2
MYOM1,P52179
AKIP1,Q9NQ31
ORAOV1,Q8WV07
FLG2,Q5D862
OLR1,P78380
PPP3CC,P48454
C6orf106,Q9H6K1
TIMM21,Q9BVV7
CNNM2,Q9H8M5
BRPF3,Q9ULD4
LGALS1,P09382
MMP25,Q9NPA2
ENO3,P13929
CLIC2,O15247
TADA2A,O75478
CRNN,Q9UBG3
DACH1,Q9UI36
VPS25,Q9BRG1
RGS10,O43665
C4orf3,Q8WVX3
BACE1,P56817
TIMP1,P01033
NIPAL2,Q9H841
PRKG1,Q13976
LCE5A,Q5TCM9
H2AFB2,P0C5Z0
ZNF19,P17023
MZT1,Q08AG7
C21orf2,O43822
DGUOK,Q16854
F8A2,P23610
F8A3,P23610
CYB5A,P00167
GIGYF2,Q6Y7W6
CRCT1,Q9UGL9
ATP5A1,P25705
C11orf16,Q9NQ32
LCE3E,Q5T5B0
FABP2,P12104
PAX5,Q02548
NOL12,Q9UGY1
H2AFB3,P0C5Z0
UBXN1,Q04323
ZAP70,P43403
LCE3D,Q9BYE3
FAM220A,Q7Z4H9
FOXA3,P55318
CACHD1,Q5VU97
LCE3C,Q5T5A8
CNIH3,Q8TBE1
IRF2BP1,Q8IU81
CFP,P27918
MYPOP,Q86VE0
LCE3B,Q5TA77
NANOS2,P60321
LCE3A,Q5TA76
RPUSD2,Q8IZ73
PTPN5,P54829
BORA,Q6PGQ7
LCE2D,Q5TA82
KIAA0355,O15063
NOVA2,Q9UNW9
STK3,Q13188
UGDH,O60701
ASCL3,Q9NQ33
TMLHE,Q9NVH6
EIF3J,O75822
LCE2B,O14633
RAVER2,Q9HCJ3
ELK1,P19419
MZF1,P28698
PLCH2,O75038
LCE2C,Q5TA81
FGFR3,P22607
GAS7,O60861
LCE2A,Q5TA79
C18orf63,Q68DL7
BCR,P11274
EFCAB5,A4FU69
FAM69C,Q0P6D2
LCE4A,Q5TA78
SPATA7,Q9P0W8
UXT,Q9UBK9
C1orf68,Q5T750
SRPX2,O60687
KIAA1324L,A8MWY0
KPRP,Q5T749
CYP27A1,Q02318
FGF19,O95750
PAQR3,Q6TCH7
TET3,O43151
LCE1F,Q5T754
FGF4,P08620
ZCCHC7,Q8N3Z6
ERAP1,Q9NZ08
C20orf26,Q8NHU2
FUS,P35637
ZNF81,P51508
LRRN4CL,Q8ND94
LCE1E,Q5T753
TRIOBP,Q9H2D6
LCE1D,Q5T752
TMEM8C,A6NI61
CD37,P11049
LCE1C,Q5T751
ZNF182,P17025
CASC5,Q8NG31
KCNS2,Q9ULS6
ST6GAL1,P15907
LCE1B,Q5T7P3
MICU1,Q9BPX6
ERC1,Q8IUD2
H1F0,P07305
ALAS1,P13196
LCE1A,Q5T7P2
LCP2,Q13094
LCE6A,A0A183
DIS3,Q9Y2L1
HGD,Q93099
JAK1,P23458
C10orf120,Q5SQS8
ARID1A,O14497
PYCARD,Q9ULZ3
SMCP,P49901
OSR2,Q8N2R0
C6orf195,Q96MT4
SYTL4,Q96C24
ADAMTSL2,Q86TH1
MRGPRX1,Q96LB2
ZNF630,Q2M218
TMEM52B,Q4KMG9
C16orf98,I3L0S3
MRGPRX2,Q96LB1
RTL1,A6NKG5
BOLA3,Q53S33
TPPP,O94811
FAM163B,P0C2L3
CPNE8,Q86YQ8
GCAT,O75600
TRIM72,Q6ZMU5
GPI,P06744
SPACA5,Q96QH8
NAA11,Q9BSU3
PGM3,O95394
PYDC1,Q8WXC3
PDE5A,O76074
AK4,P27144
TRPM2,O94759
GK2,Q14410
SMIM14,Q96QK8
IVL,P07476
SPACA5B,Q96QH8
CHD8,Q9HCK8
ELMOD3,Q96FG2
GPR119,Q8TDV5
RDH12,Q96NR8
DIO3,P55073
GALR3,O60755
MYLK4,Q86YV6
INSM1,Q01101
SPRR4,Q96PI1
HAUS1,Q96CS2
CNDP2,Q96KP4
DNAH14,Q0VDD8
CUZD1,Q86UP6
SPRR1A,P35321
SSX5,O60225
PIBF1,Q8WXW3
TLR9,Q9NR96
RABL3,Q5HYI8
MYO1B,O43795
DBH,P09172
AMD1,P17707
SSX1,Q16384
GRHPR,Q9UBQ7
RBMX2,Q9Y388
SPRR3,Q9UBC9
CHST4,Q8NCG5
UBE2K,P61086
ZDHHC11,Q9H8X9
KLF5,Q13887
PROSER2,Q86WR7
MYL12A,P19105
ANO1,Q5XXA6
PHF8,Q9UPP1
SPRR1B,P22528
MOB1A,Q9H8S9
SSX3,Q99909
LRCH4,O75427
GTF3C6,Q969F1
NT5C2,P49902
MAF1,Q9H063
RAC1,P63000
ZBTB5,O15062
SPRR2D,P22532
KLF12,Q9Y4X4
TAT,P17735
ANKRD54,Q6NXT1
SSX4,O60224
SPRR2A,P35326
DNAJC6,O75061
AP2M1,Q96CW1
CSTF2,P33240
CEP164,Q9UPV0
ZCCHC8,Q6NZY4
MARVELD3,Q96A59
MYL12B,O14950
SPRR2B,P35325
ZDHHC13,Q8IUH4
ITGAM,P11215
ZNF474,Q6S9Z5
GABARAPL1,Q9H0R8
LBR,Q14739
BSCL2,Q96G97
SPRR2E,P22531
SSX4B,O60224
RAD51,Q06609
KIAA1875,A6NE52
NPC1L1,Q9UHC9
EIF4E3,Q8N5X7
SPRR2F,Q96RM1
KCNIP1,Q9NZI2
SPRR2G,Q9BYE4
SPRY3,O43610
PRKAG3,Q9UGI9
LELP1,Q5T871
POLR1E,Q9GZS1
MARCH7,Q9H992
MTHFD2,P13995
PRR9,Q5T870
DCTN2,Q13561
PIGV,Q9NUD9
RALGAPA2,Q2PPJ7
MIA2,Q96PC5
PANK4,Q9NVE7
VEZF1,Q14119
C18orf25,Q96B23
LOR,P23490
EIF3L,Q9Y262
SIRT4,Q9Y6E7
CASC3,O15234
WNK4,Q96J92
TGIF1,Q15583
HES5,Q5TA89
MAFG,O15525
QTRT1,Q9BXR0
PGLYRP3,Q96LB9
KLKB1,P03952
TEAD2,Q15562
VAMP7,P51809
ZDHHC18,Q9NUE0
ANTXR2,P58335
SRSF1,Q07955
ENAH,Q8N8S7
RNF165,Q6ZSG1
LEPR,P48357
FBXO10,Q9UK96
RPF2,Q9H7B2
CDC23,Q9UJX2
KLC4,Q9NSK0
TBC1D4,O60343
SLC38A5,Q8WUX1
FAM203A,Q9BTY7
LRRC3,Q9BY71
PMCH,P20382
SRP9,P49458
LRRC3DN,Q9UFM2
CSRP3,P50461
KCNMB1,Q16558
PHLPP2,Q6ZVD8
PGLYRP4,Q96LB8
SARDH,Q9UL12
TOMM5,Q8N4H5
LEPROT,O15243
SORBS3,O60504
PPP2R5C,Q13362
DAGLB,Q8NCG7
SYT15,Q9BQS2
CELF6,Q96J87
F11,P03951
TNFRSF14,Q92956
PDS5A,Q29RF7
DKKL1,Q9UK85
S100A9,P06702
TSPEAR,Q8WU66
EEF1B2,P24534
COMMD6,Q7Z4G1
PLXNC1,O60486
C21orf90,P59090
MTNR1A,P48039
MICALL1,Q8N3F8
EPHX1,P07099
S100A12,P80511
ITGAX,P20702
KRTAP10-1,P60331
PDCD2L,Q9BRP1
CHFR,Q96EP1
KRTAP10-2,P60368
FADD,Q13158
CPSF3,Q9UKF6
KRTAP10-3,P60369
KRTAP10-4,P60372
KRTAP10-5,P60370
HTR4,Q13639
E2F8,A0AVK6
S100A8,P05109
KRTAP10-6,P60371
PLA2G1B,P04054
KRTAP10-7,P60409
KRTAP10-8,P60410
PYCR1,P32322
KRTAP10-9,P60411
GABRP,O00591
FTSJ1,Q9UET6
KRTAP10-10,P60014
FRMPD1,Q5SYB0
KRTAP10-11,P60412
KRTAP12-4,P60329
DSCAML1,Q8TD84
KRTAP12-3,P60328
S100A7A,Q86SG5
KRTAP12-2,P59991
RAB2B,Q8WUD1
GFRA3,O60609
SFN,P31947
KRTAP12-1,P59990
C22orf23,Q9BZE7
UCHL3,P15374
KRTAP10-12,P60413
CXCR6,O00574
WNT2,P09544
MSI1,O43347
S100A7L2,Q5SY68
FAT1,Q14517
RWDD2A,Q9UIY3
NOX1,Q9Y5S8
GPN2,Q9H9Y4
XCR1,P46094
LETM1,O95202
S100A7,P31151
SLC16A10,Q8TF71
GTF2E1,P29083
RSRC2,Q7L4I2
CEBPD,P49716
ZNF366,Q8N895
GALNTL5,Q7Z4T8
CCDC155,Q8N6L0
ZFP42,Q96MM3
UBE2G2,P60604
S100A6,P06703
CCR3,P51677
LOXHD1,Q8IVV2
IL32,P24001
POLR2F,P61218
TRMT10B,Q6PF06
PDE4B,Q07343
GALNT15,Q8N3T1
TMEM63A,O94886
GPATCH3,Q96I76
VAV2,P52735
KIAA1919,Q5TF39
ZFYVE26,Q68DK2
CD302,Q8IX05
WRNIP1,Q96S55
TRIML2,Q8N7C3
S100A5,P33763
COX6A1,P12074
LEFTY1,O75610
GPRIN2,O60269
SPG11,Q96JI7
GNG3,P63215
ASZ1,Q8WWH4
EXOSC3,Q9NQT5
SOX10,P56693
NPY4R,P50391
VIT,Q6UXI7
PPFIA1,Q13136
ME1,P48163
TRIML1,Q8N9V2
PORCN,Q9H237
HNRNPUL2,Q1KMD3
SORBS1,Q9BX66
KIF21A,Q7Z4S6
NUDC,Q9Y266
BRD3,Q15059
CSTF2T,Q9H0L4
IL9R,Q01113
TOX4,O94842
WNT6,Q9Y6F9
S100A4,P26447
TTC9C,Q8N5M4
DKK1,O94907
DYNLL2,Q96FJ2
VPS13B,Q7Z7G8
OR4D1,Q15615
ZBTB3,Q9H5J0
WNT10A,Q9GZT5
OR4D2,P58180
DCAF10,Q5QP82
FXYD2,P54710
PLSCR4,Q9NRQ2
CDK5R2,Q13319
SAP25,Q8TEE9
DNM2,P50570
TMEM131,Q92545
AP1G1,O43747
WDR5,P61964
EPX,P11678
OR4F21,O95013
FEV,Q99581
KDELR2,P33947
TWF2,Q6IBS0
S100A3,P33764
SLC25A51,Q9H1U9
ADRB2,P07550
POLR2G,P62487
MBL2,P11226
MAD2L1,Q13257
CNDP1,Q96KN2
PYCR2,Q96C36
NR0B2,Q15466
SPAG7,O75391
HEXA,P06865
C1orf172,Q8NAX2
ZSCAN10,Q96SZ4
DPH3,Q96FX2
CDC25C,P30307
PICK1,Q9NRD5
SHB,Q15464
TRNP1,Q6NT89
SERPINB1,P30740
DDX56,Q9NY93
ALDH1B1,P30837
FAM46B,Q96A09
LEFTY2,O00292
S100A2,P29034
RAPGEFL1,Q9UHV5
IGFBPL1,Q8WX77
TAF6L,Q9Y6J9
SNCAIP,Q9Y6H5
RXRA,P19793
UPF2,Q9HAU5
ZNF407,Q9C0G0
ZDHHC11B,P0C7U3
STXBP5L,Q9Y2K9
DLGAP1,O14490
CCR1,P32246
SLC16A8,O95907
WHSC1,O96028
ZNF596,Q8TC21
RANBP17,Q9H2T7
SDE2,Q6IQ49
ZACN,Q401N2
FAM213B,Q8TBF2
CCR2,P41597
ZNF205,O95201
S100A16,Q96FQ6
OXNAD1,Q96HP4
NSRP1,Q9H0G5
ANKRD18A,Q8IVF6
ITGAD,Q13349
TMEM223,A0PJW6
BAIAP2L2,Q6UXY1
CCR5,P51681
LMO7,Q8WWI1
FBXO24,O75426
TNPO1,Q92973
COX6A2,Q02221
SGIP1,Q9BQI5
H3F3A,P84243
PRDM5,Q9NQX1
ZNF843,Q8N446
GPR1,P46091
TMEM179B,Q7Z7N9
ZADH2,Q8N4Q0
ZNF213,O14771
GPR27,Q9NS67
S100A14,Q9HCY8
CCRL2,O00421
SLC9A1,P19634
MYH13,Q9UKX3
SH3TC2,Q8TF17
ZDBF2,Q9HCK1
TSHZ1,Q6ZSZ6
FBXO25,Q8TCJ0
SUMO3,P55854
CASP16,P0CB46
GRID2IP,A4D2P6
OR1F1,O43749
CSRNP2,Q9H175
UBA2,Q9UBT2
TCTEX1D1,Q8N7M0
ACBD3,Q9H3P7
ARMC5,Q96C12
C13orf45,F2Z398
IGF1,P05019
S100A13,Q99584
PTPN21,Q16825
KCTD12,Q96CX2
GALNT11,Q8NCW6
PRKDC,P78527
INSL5,Q9Y5Q6
MIXL1,Q9H2W2
CCDC41,Q9Y592
PATL2,C9JE40
COL5A1,P20908
IRG1,A6NK06
PTTG1IP,P53801
EBP,Q15125
MMEL1,Q495T6
XKRX,Q6PP77
CRYBA2,P53672
CLN5,O75503
IWS1,Q96ST2
C18orf42,P0CW23
WTIP,A6NIX2
PROK2,Q9HC23
SMIM21,Q3B7S5
SCGB2B2,Q4G0G5
FCN2,Q15485
PRSS35,Q8N3Z0
CNTNAP3,Q9BZ76
BRD9,Q9H8M2
ZNF200,P98182
ZBTB14,O43829
SLC4A5,Q9BY07
ENOX2,Q16206
FBXL3,Q9UKT7
SCXB,Q7RTU7
COA3,Q9Y2R0
S100A1,P23297
METTL3,Q86U44
TBC1D25,Q3MII6
FCN1,O00602
ZNF516,Q92618
ADAM23,O75077
N4BP2,Q86UW6
NXF1,Q9UBU9
PDLIM2,Q96JY6
FAM203B,P0CB43
PLA2G6,O60733
SPATA31A1,Q5TZJ5
ZNF302,Q9NR11
WIPF2,Q8TF74
FXYD6,Q9H0Q3
XRN2,Q9H0D6
SPATA31A2,Q5RGS2
PRDM8,Q9NQV8
TDRP,Q86YL5
LY75,O60449
IAH1,Q2TAA2
SERPINB9,P50453
NKX2-4,Q9H2Z4
C2orf61,Q8N801
ARL13A,Q5H913
OLFM1,Q99784
NKX2-2,O95096
LIN9,Q5TKA1
LTF,P02788
ATXN1L,P0C7T5
WDR78,Q5VTH9
SPATA31A3,Q5VYP0
CFTR,P13569
B2M,P61769
PAX1,P15863
RPL39L,Q96EH5
MEFV,O15553
MAFF,Q9ULX9
CTTN,Q14247
INA,Q16352
ERICH1,Q86X53
TGFB1I1,O43294
NDNF,Q8TB73
ZNF658,Q5TYW1
DMTF1,Q9Y222
C9orf62,Q8N4C0
FOXA2,Q9Y261
CHTOP,Q9Y3Y2
FAM120C,Q9NX05
MCU,Q8NE86
SSTR4,P31391
ZNF181,Q2M3W8
ARHGAP36,Q6ZRI8
ZDHHC4,Q9NPG8
THBD,P07204
GALR2,O43603
ANXA8L1,Q5T2P8
SNX2,O60749
TMEM202,A6NGA9
PLSCR2,Q9NRY7
STRN,O43815
PPP1R26,Q5T8A7
PCGF6,Q9BYE7
CAMTA2,O94983
ZNF263,O14978
TMED1,Q13445
FGF5,P12034
SPATA31A4,Q4VX67
CD93,Q9NPY3
WDTC1,Q8N5D0
TTC34,A8MYJ7
TMCC3,Q9ULS5
ACTRT2,Q8TDY3
TMEM184B,Q9Y519
DLGAP2,Q9P1A6
C9orf116,Q5BN46
TFCP2,Q12800
PAH,P00439
SPATA31A5,Q5VU36
TRMT2B,Q96GJ1
SNAPIN,O95295
TIGD7,Q6NT04
C19orf38,A8MVS5
RYBP,Q8N488
TRIAP1,O43715
MRPS2,Q9Y399
WNK3,Q9BYP7
ANKRD20A2,Q5SQ80
RBM3,P98179
GATC,O43716
ARIH1,Q9Y4X5
ZNF75A,Q96N20
RHOH,Q15669
OR2C1,O95371
PARP1,P09874
MRPL2,Q5T653
CNTD1,Q8N815
LCN1,P31025
SRSF9,Q13242
NXT1,Q9UKK6
RFTN1,Q14699
CLN8,Q9UBY8
CARM1,Q86X55
ITGB2,P05107
SHQ1,Q6PI26
MYH8,P13535
C1orf95,Q69YW2
MTRNR2L4,P0CJ71
CHRNA9,Q9UGM1
KLRD1,Q13241
RTP1,P59025
PCOLCE,Q15113
GZF1,Q9H116
HEATR5B,Q9P2D3
ZNF236,Q9UL36
TMPRSS13,Q9BYE2
REV3L,O60673
OBP2A,Q9NY56
C7orf26,Q96N11
POLQ,O75417
NELFA,Q9H3P2
PRDM16,Q9HAZ2
ITPKB,P27987
YIPF2,Q9BWQ6
IST1,P53990
IGSF1,Q8N6C5
ZSCAN32,Q9NX65
CDC6,Q99741
VWA3B,Q502W6
SALL2,Q9Y467
CSNK1E,P49674
KCNJ13,O60928
NABP1,Q96AH0
CBWD7,A6NM15
TRIM69,Q86WT6
POU6F1,Q14863
RBM47,A0AV96
PPM1M,Q96MI6
NAPB,Q9H115
PAEP,P09466
DYNLL1,P63167
TNIP3,Q96KP6
C2orf82,Q6UX34
ARGFX,A6NJG6
FOXD4L2,Q6VB85
NDUFA12,Q9UI09
TMEM222,Q9H0R3
C4orf22,Q6V702
FBXO40,Q9UH90
GLT6D1,Q7Z4J2
KCNJ4,P48050
ZNF174,Q15697
LCN9,Q8WX39
C8orf58,Q8NAV2
TMEM35,Q53FP2
FAM25B,B3EWG4
NAV2,Q8IVL1
DAZL,Q92904
MYADML2,A6NDP7
SLC5A2,P31639
STX5,Q13190
BMP3,P12645
GOLGA6B,A6NDN3
ZNF599,Q96NL3
SOHLH1,Q5JUK2
KDELR3,O43731
ZNF853,P0CG23
HIGD2B,Q4VC39
ZNF597,Q96LX8
ANKRD20A3,Q5VUR7
PSEN2,P49810
MYH4,Q9Y623
COQ5,Q5HYK3
NOTUM,Q6P988
SPATA31A6,Q5VVP1
PTH2,Q96A98
ARHGEF10,O15013
GFY,I3L273
MYCBP2,O75592
IL10RA,Q13651
ZNF30,P17039
NGEF,Q8N5V2
EXOC7,Q9UPT5
CTAGE5,O15320
PRKG2,Q13237
OR10G3,Q8NGC4
RARA,P10276
QRFPR,Q96P65
OR10G2,Q8NGC3
ZNF792,Q3KQV3
MASP1,P48740
TAF5,Q15542
TLX3,O43711
HCLS1,P14317
SERPINB6,P35237
C16orf58,Q96GQ5
SLC17A7,Q9P2U7
WDR82,Q6UXN9
EPB41L3,Q9Y2J2
SHANK2,Q9UPX8
CNTNAP3B,Q96NU0
TUBB8,Q3ZCM7
COX6C,P09669
TMED4,Q7Z7H5
AGAP10,Q5T2P9
KMT2C,Q8NEZ4
PLCL2,Q9UPR0
MIER1,Q8N108
SYTL1,Q8IYJ3
C19orf52,Q9BSF4
OIT3,Q8WWZ8
ADCK3,Q8NI60
NAA60,Q9H7X0
OR4E2,Q8NGC2
MBP,P02686
ZMYND11,Q15326
WDR74,Q6RFH5
NIM1K,Q8IY84
DDX17,Q92841
GLYCTK,Q8IVS8
DAZAP2,Q15038
FAM27C,Q5VT28
BBS4,Q96RK4
FAM27A,Q5VT28
FAM27E2,Q5SNX5
MCM4,P33991
FAM27E1,Q5T7N7
ARHGEF16,Q5VV41
ILF2,Q12905
ZNF12,P17014
FAM27D1,Q5T7N8
NR2C1,P13056
ANXA5,P08758
CCAR2,Q8N163
KLRK1,P26718
WDR13,Q9H1Z4
ANTXRL,A6NF34
C21orf67,P58512
HMGCS1,Q01581
NQO2,P16083
C16orf90,A8MZG2
SNAP91,O60641
PIH1D1,Q9NWS0
RASGEF1B,Q0VAM2
GRAMD1A,Q96CP6
DMC1,Q14565
FAM53C,Q9NYF3
CSTL1,Q9H114
KCNT1,Q5JUK3
ZC3H14,Q6PJT7
CST11,Q9H112
TSR2,Q969E8
FAM207A,Q9NSI2
SLC6A4,P31645
PLA2G12B,Q9BX93
KBTBD11,O94819
SPATA31A7,Q8IWB4
SLC35D1,Q9NTN3
SCXA,Q7RTU7
KLRC4,O43908
C4orf48,Q5BLP8
CST8,O60676
FAM27E3,Q08E93
ZNF605,Q86T29
FAM27B,Q5VT28
TMPRSS4,Q9NRS4
CST9L,Q9H4G1
C15orf43,Q8NHR7
CST9,Q5W186
FAM227A,Q5TG08
