"from","to","neighborhood","neighborhood_transferred","fusion","cooccurence","homology","coexpression","coexpression_transferred","experiments","experiments_transferred","database","database_transferred","textmining","textmining_transferred","combined_score","i.weight"
"9606.ENSP00000200181","9606.ENSP00000374309",258,67,630,480,840,160,91,576,149,900,312,235,174,931,0.0346244680827702
"9606.ENSP00000200181","9606.ENSP00000386896",258,67,630,480,840,160,103,917,178,900,312,744,380,998,0.335276587198075
"9606.ENSP00000200181","9606.ENSP00000400365",258,67,630,480,840,160,103,576,75,900,312,167,174,925,0.0627926718325544
"9606.ENSP00000200181","9606.ENSP00000401303",258,67,630,480,840,160,103,576,75,900,312,259,174,965,0.0551044426359211
"9606.ENSP00000218089","9606.ENSP00000229179",258,72,1,335,858,160,69,644,169,900,312,100,701,906,0.219207317739495
"9606.ENSP00000218089","9606.ENSP00000303585",258,72,1,335,858,160,83,893,228,900,312,58,562,906,0.0309532646153869
"9606.ENSP00000218089","9606.ENSP00000341282",258,72,1,335,945,160,228,313,80,900,312,184,185,914,0.353888076739012
"9606.ENSP00000218089","9606.ENSP00000380378",258,72,1,335,979,160,112,808,228,900,312,71,177,903,0.0435114647621541
"9606.ENSP00000227507","9606.ENSP00000244741",258,242,201,319,646,160,67,999,86,900,312,973,81,999,0.278872985600457
"9606.ENSP00000227507","9606.ENSP00000256078",258,242,201,319,676,160,92,999,74,900,312,941,83,946,0.15247391156845
"9606.ENSP00000227507","9606.ENSP00000257904",258,242,201,319,650,160,113,999,684,900,312,981,761,999,0.223733900155797
"9606.ENSP00000227507","9606.ENSP00000261254",258,242,201,319,960,160,113,576,360,900,312,824,599,903,0.311930430945539
"9606.ENSP00000227507","9606.ENSP00000262662",258,242,201,319,669,160,89,159,227,900,312,700,541,968,0.131373708665359
"9606.ENSP00000227507","9606.ENSP00000263967",258,242,201,319,669,160,89,576,74,900,312,584,198,963,0.122989253466963
"9606.ENSP00000227507","9606.ENSP00000265741",258,242,201,319,669,160,89,998,360,720,312,163,599,931,0.0970595666950539
"9606.ENSP00000227507","9606.ENSP00000267163",258,242,201,319,669,160,89,999,436,900,312,948,486,999,0.0311018168225402
"9606.ENSP00000227507","9606.ENSP00000269305",258,242,201,319,669,160,71,570,74,900,312,979,101,979,0.0540230689799142
"9606.ENSP00000227507","9606.ENSP00000274335",258,242,201,319,699,160,72,564,69,900,312,323,101,929,0.0215733605490723
"9606.ENSP00000227507","9606.ENSP00000275493",258,242,201,319,699,160,72,564,69,900,312,961,101,963,0.069336065894573
"9606.ENSP00000227507","9606.ENSP00000276925",258,242,201,319,699,160,73,457,360,900,312,720,599,970,0.0010500732393969
"9606.ENSP00000227507","9606.ENSP00000309845",258,242,201,319,672,160,74,159,74,900,312,942,83,947,0.102573689518133
"9606.ENSP00000227507","9606.ENSP00000337056",258,242,201,319,672,160,69,192,139,900,312,634,91,961,0.0983256191301783
"9606.ENSP00000227507","9606.ENSP00000358548",258,242,201,319,672,160,72,698,74,900,312,938,83,943,0.00760947147966118
"9606.ENSP00000227507","9606.ENSP00000361021",258,242,201,319,672,160,72,567,97,900,312,949,106,952,0.0164373965700297
"9606.ENSP00000227507","9606.ENSP00000362082",258,242,201,319,952,160,81,576,69,900,312,870,119,904,0.232674754891281
"9606.ENSP00000227507","9606.ENSP00000394932",258,242,201,319,952,160,99,803,149,900,312,972,149,999,0.0708829539862196
"9606.ENSP00000227507","9606.ENSP00000449241",258,242,201,319,654,160,113,570,362,900,312,178,160,914,0.426191530303445
"9606.ENSP00000229135","9606.ENSP00000245414",258,66,428,332,717,160,112,150,114,900,312,356,796,985,0.119102863030404
"9606.ENSP00000229135","9606.ENSP00000259555",258,66,428,332,717,160,112,150,114,900,312,197,65,916,0.0453225467789047
"9606.ENSP00000229135","9606.ENSP00000263967",258,66,428,332,717,160,112,150,114,900,312,163,63,912,0.0750048634003507
"9606.ENSP00000229135","9606.ENSP00000264818",258,66,428,332,717,160,112,150,114,900,312,313,99,932,0.021331390965256
"9606.ENSP00000229135","9606.ENSP00000270139",258,66,428,332,717,160,112,150,114,900,312,330,166,930,0.0610922190807681
"9606.ENSP00000229135","9606.ENSP00000274335",258,66,428,332,717,160,112,150,114,900,312,198,150,916,0.00140821587656317
"9606.ENSP00000229135","9606.ENSP00000340944",258,66,428,332,717,160,75,576,149,900,312,227,389,919,0.150346431838791
"9606.ENSP00000229135","9606.ENSP00000343204",258,66,428,332,717,160,75,576,149,900,312,395,100,940,0.00505520547480764
"9606.ENSP00000229135","9606.ENSP00000343957",258,66,428,332,717,160,75,576,149,900,312,207,199,916,0.0250065211504754
"9606.ENSP00000229135","9606.ENSP00000369553",258,66,428,332,717,160,70,998,149,900,312,216,78,918,0.115187661446933
"9606.ENSP00000229135","9606.ENSP00000369554",258,66,428,332,717,160,70,998,149,900,312,413,78,938,0.0658233075213157
"9606.ENSP00000229135","9606.ENSP00000369558",258,66,428,332,717,160,70,998,149,900,312,193,78,915,0.0486808500743224
"9606.ENSP00000229135","9606.ENSP00000369564",258,66,428,332,717,160,70,998,149,900,312,67,78,902,0
"9606.ENSP00000229135","9606.ENSP00000369566",258,66,428,332,717,160,70,998,149,900,312,243,78,921,0.0129131791869373
"9606.ENSP00000229135","9606.ENSP00000369571",258,66,428,332,717,160,70,998,149,900,312,126,78,908,0.0377988944860255
"9606.ENSP00000229135","9606.ENSP00000369574",258,66,428,332,717,160,70,998,149,900,312,243,78,921,0.0157908656050196
"9606.ENSP00000229135","9606.ENSP00000411940",258,66,428,332,717,160,70,576,149,900,312,234,196,920,0.0204293759592204
"9606.ENSP00000229135","9606.ENSP00000412897",258,66,428,332,717,160,70,576,149,900,312,199,583,916,0.0081317353593787
"9606.ENSP00000229179","9606.ENSP00000268919",258,66,428,332,717,160,71,321,88,900,312,159,98,905,0.0176885247572026
"9606.ENSP00000229179","9606.ENSP00000303585",258,66,428,332,717,160,84,564,292,900,312,104,129,909,0.00828902028695998
"9606.ENSP00000229179","9606.ENSP00000400591",258,66,428,332,717,160,157,901,88,900,312,53,193,901,0.0537892853847171
"9606.ENSP00000231021","9606.ENSP00000274170",258,83,283,525,964,160,109,574,73,900,312,540,65,956,0.668498101923577
"9606.ENSP00000231509","9606.ENSP00000245414",258,224,172,405,695,160,112,385,74,900,312,198,131,916,0.17465085621381
"9606.ENSP00000231509","9606.ENSP00000263967",258,224,172,405,641,160,112,576,63,900,312,69,104,902,0.364579362476845
"9606.ENSP00000231509","9606.ENSP00000269305",258,224,172,405,634,160,112,914,109,900,312,358,185,951,0.199850613760086
"9606.ENSP00000231509","9606.ENSP00000274335",258,224,172,405,634,160,112,125,86,900,312,163,196,912,0.468424358021886
"9606.ENSP00000231509","9606.ENSP00000351015",258,224,172,405,636,160,112,801,63,900,312,160,372,942,0.333666913272329
"9606.ENSP00000231509","9606.ENSP00000369581",258,224,172,405,825,160,112,564,108,900,312,229,152,919,0.0214506781993337
"9606.ENSP00000231509","9606.ENSP00000377218",258,224,172,405,825,160,112,570,89,900,312,103,64,908,0.402288853049832
"9606.ENSP00000231509","9606.ENSP00000381098",258,224,172,405,675,160,112,807,74,900,312,215,182,986,0.130692053709583
"9606.ENSP00000233242","9606.ENSP00000243077",258,74,230,521,827,160,115,809,74,900,312,454,195,952,0.180858759453104
"9606.ENSP00000233242","9606.ENSP00000263816",258,74,230,521,827,160,116,576,102,900,312,507,195,980,0.293806633595681
"9606.ENSP00000233242","9606.ENSP00000307046",258,74,230,521,827,160,112,567,149,900,312,101,103,906,0.131934384938983
"9606.ENSP00000233242","9606.ENSP00000329357",258,74,230,521,827,160,87,576,149,900,312,168,128,913,0.185601845074112
"9606.ENSP00000233242","9606.ENSP00000340944",258,74,230,521,827,160,72,576,212,900,312,829,170,982,0.180827469855021
"9606.ENSP00000239347","9606.ENSP00000245414",258,219,8,526,707,160,72,576,89,900,312,51,162,901,0.0657559820982363
"9606.ENSP00000239347","9606.ENSP00000259555",258,219,8,526,983,160,72,576,89,900,312,752,169,901,0.280474190465347
"9606.ENSP00000239347","9606.ENSP00000264818",258,219,8,526,983,160,72,576,89,900,312,61,169,902,0.051466324653233
"9606.ENSP00000239347","9606.ENSP00000270139",258,219,8,526,983,160,72,576,89,900,312,91,169,905,0.0127834333858884
"9606.ENSP00000239347","9606.ENSP00000315768",258,219,8,526,983,160,72,576,89,900,312,101,66,906,0.13435773596318
"9606.ENSP00000239347","9606.ENSP00000343204",258,219,8,526,983,160,72,576,89,900,312,61,66,902,0.0333438212767979
"9606.ENSP00000239347","9606.ENSP00000369553",258,219,8,526,981,160,72,576,89,900,312,752,66,901,0.0176813053273721
"9606.ENSP00000239347","9606.ENSP00000369554",258,219,8,526,979,160,72,576,89,900,312,562,66,901,0.016106395981694
"9606.ENSP00000239347","9606.ENSP00000369558",258,219,8,526,981,160,72,576,89,900,312,721,66,901,0.804042219888155
"9606.ENSP00000239347","9606.ENSP00000369574",258,219,8,526,986,160,72,576,89,900,312,752,66,901,0.236103054303912
"9606.ENSP00000239347","9606.ENSP00000369581",258,219,8,526,827,160,72,576,89,900,312,312,104,905,0.445844064072685
"9606.ENSP00000239347","9606.ENSP00000377218",258,219,8,526,827,160,72,576,89,900,312,55,104,901,0.157031915356516
"9606.ENSP00000239347","9606.ENSP00000380073",258,219,8,526,827,160,72,576,89,900,312,70,104,903,0.0781853840920857
"9606.ENSP00000240055","9606.ENSP00000267163",258,278,2,526,747,160,178,570,149,900,312,109,141,916,0.328051011214815
"9606.ENSP00000240055","9606.ENSP00000269305",258,278,2,526,747,160,172,915,78,900,312,242,92,993,0.104635658336798
"9606.ENSP00000240055","9606.ENSP00000329357",258,278,2,526,747,160,181,808,149,900,312,264,144,988,0.0936570892531986
"9606.ENSP00000240055","9606.ENSP00000330633",258,278,2,526,747,160,110,576,106,900,312,826,80,926,0.00909635134951078
"9606.ENSP00000240055","9606.ENSP00000447803",258,278,2,526,815,160,112,136,167,900,312,71,130,903,0.114969490128668
"9606.ENSP00000240055","9606.ENSP00000455307",258,278,2,526,815,160,181,136,168,900,312,44,124,920,0.12023517405918
"9606.ENSP00000240343","9606.ENSP00000242577",258,70,2,293,986,160,72,514,362,900,312,741,373,949,0.493267175362221
"9606.ENSP00000240343","9606.ENSP00000262442",258,70,2,293,986,160,78,328,562,540,312,156,677,929,0.00225774643351207
"9606.ENSP00000240343","9606.ENSP00000320130",258,70,2,293,986,160,74,423,96,900,312,300,541,980,0.317565587540493
"9606.ENSP00000240343","9606.ENSP00000330671",258,70,2,293,986,160,75,423,562,360,312,138,677,901,0.0456993154966379
"9606.ENSP00000240343","9606.ENSP00000354791",258,70,2,293,986,160,82,328,122,900,312,72,114,910,0.715745121155448
"9606.ENSP00000240343","9606.ENSP00000367841",258,70,2,293,986,160,70,575,300,540,312,580,521,926,0.205783708624137
"9606.ENSP00000240343","9606.ENSP00000408910",258,70,2,293,986,160,110,581,362,900,312,71,104,909,0.0204537740103085
"9606.ENSP00000242577","9606.ENSP00000251775",258,65,109,203,986,160,72,264,101,900,312,101,104,906,0.219848151245049
"9606.ENSP00000242577","9606.ENSP00000252936",258,65,109,203,986,160,72,264,101,900,312,71,152,903,0.212670185261166
"9606.ENSP00000242577","9606.ENSP00000261383",258,65,109,203,986,160,82,468,362,900,312,151,560,969,0.0546148543975352
"9606.ENSP00000242577","9606.ENSP00000262442",258,65,109,203,986,160,78,468,562,540,312,125,677,935,0.103579102878254
"9606.ENSP00000242577","9606.ENSP00000273130",258,65,109,203,986,160,90,576,326,900,312,264,190,935,0.291716119586048
"9606.ENSP00000242577","9606.ENSP00000311273",258,65,109,203,986,160,70,484,362,900,312,195,560,974,0.174951802152662
"9606.ENSP00000242577","9606.ENSP00000320130",258,65,109,203,986,160,74,912,96,900,312,202,541,996,0.227015040693069
"9606.ENSP00000242577","9606.ENSP00000330671",258,65,109,203,986,160,75,567,562,360,312,211,677,901,0.0103686595775519
"9606.ENSP00000242577","9606.ENSP00000333363",258,65,109,203,986,160,70,567,362,900,312,71,560,970,0.202463167929341
"9606.ENSP00000242577","9606.ENSP00000354791",258,65,109,203,986,160,88,576,149,900,312,112,114,962,0.38679061224567
"9606.ENSP00000242577","9606.ENSP00000367841",258,65,109,203,986,160,85,321,300,900,312,357,521,975,0.277413219864005
"9606.ENSP00000242577","9606.ENSP00000373825",258,65,109,203,986,160,82,644,362,900,312,280,560,969,0.0038686592978191
"9606.ENSP00000242577","9606.ENSP00000380378",258,65,109,203,986,160,110,576,194,900,312,46,431,973,0.413637948925388
"9606.ENSP00000242577","9606.ENSP00000401514",258,65,109,203,986,160,110,404,362,900,312,223,560,969,0.488526646648056
"9606.ENSP00000242577","9606.ENSP00000408910",258,65,109,203,986,160,64,314,362,900,312,216,104,923,0.280999885499179
"9606.ENSP00000243077","9606.ENSP00000307046",258,90,1,410,823,160,71,183,149,900,312,66,64,902,0.0361102588374013
"9606.ENSP00000243077","9606.ENSP00000330382",258,90,1,410,631,160,71,576,253,900,312,220,637,964,0.291558981624114
"9606.ENSP00000243077","9606.ENSP00000332549",258,90,1,410,631,160,71,564,75,900,312,844,90,929,0.013790734839583
"9606.ENSP00000243077","9606.ENSP00000349977",258,90,1,410,631,160,65,916,75,900,312,225,139,916,0.40408538038493
"9606.ENSP00000243077","9606.ENSP00000401303",258,90,1,410,608,160,97,917,253,900,312,350,212,943,0.38034861306658
"9606.ENSP00000244007","9606.ENSP00000257290",258,199,202,516,611,160,76,860,85,900,312,208,78,988,0.0495934389942788
"9606.ENSP00000244007","9606.ENSP00000263923",258,199,202,516,619,160,175,914,208,900,312,357,78,994,0.14719601839081
"9606.ENSP00000244007","9606.ENSP00000263967",258,199,202,516,619,160,175,914,254,900,312,270,376,961,0.238727486082677
"9606.ENSP00000244007","9606.ENSP00000265382",258,199,202,516,617,160,175,512,254,900,312,119,176,914,0.222338507980894
"9606.ENSP00000244007","9606.ENSP00000266497",258,199,202,516,617,160,175,569,102,900,312,81,83,914,0.159930977687625
"9606.ENSP00000244007","9606.ENSP00000274335",258,199,202,516,612,160,175,569,232,900,312,418,153,961,0.103657220596335
"9606.ENSP00000244007","9606.ENSP00000275493",258,199,202,516,610,160,175,999,232,900,312,889,199,999,0.280109498592144
"9606.ENSP00000244007","9606.ENSP00000288135",258,199,202,516,714,160,71,944,297,900,312,209,154,954,0.0360093064921587
"9606.ENSP00000244007","9606.ENSP00000289153",258,199,202,516,636,160,71,576,254,900,312,147,376,954,0.0117037177187991
"9606.ENSP00000244007","9606.ENSP00000307046",258,199,202,516,644,160,89,564,157,900,312,288,372,925,0.311474630153719
"9606.ENSP00000244007","9606.ENSP00000330382",258,199,202,516,617,160,89,812,109,900,312,119,179,908,0.097065376665265
"9606.ENSP00000244007","9606.ENSP00000341189",258,199,202,516,628,160,72,926,91,900,312,264,129,943,0.240076898960147
"9606.ENSP00000244007","9606.ENSP00000343204",258,199,202,516,628,160,72,569,232,900,312,136,92,961,0.317640154011817
"9606.ENSP00000244007","9606.ENSP00000347032",258,199,202,516,617,160,72,264,232,900,312,53,123,909,0.0335522743968935
"9606.ENSP00000244007","9606.ENSP00000352121",258,199,202,516,615,160,175,256,254,900,312,206,376,958,0.255285579499196
"9606.ENSP00000244007","9606.ENSP00000352336",258,199,202,516,950,160,175,685,254,900,312,583,392,968,0.304360151236073
"9606.ENSP00000244007","9606.ENSP00000352575",258,199,202,516,950,160,175,576,254,900,312,814,392,918,0.15859537252636
"9606.ENSP00000244007","9606.ENSP00000356155",258,199,202,516,950,160,175,286,102,900,312,92,83,915,0.242428908298469
"9606.ENSP00000244007","9606.ENSP00000357789",258,199,202,516,950,160,175,917,249,900,312,53,146,917,0.11008949454886
"9606.ENSP00000244007","9606.ENSP00000361021",258,199,202,516,613,160,136,538,110,900,312,215,428,918,0.127284226433646
"9606.ENSP00000244007","9606.ENSP00000361125",258,199,202,516,613,160,136,538,110,900,312,284,428,925,0.0471030486855251
"9606.ENSP00000244007","9606.ENSP00000370912",258,199,202,516,647,160,136,576,149,900,312,92,322,968,0.282112728190619
"9606.ENSP00000244007","9606.ENSP00000373399",258,199,202,516,647,160,136,651,149,900,312,196,123,908,0.222510456668253
"9606.ENSP00000244007","9606.ENSP00000384675",258,199,202,516,615,160,175,925,76,900,312,350,106,995,0.459221693906294
"9606.ENSP00000244007","9606.ENSP00000401303",258,199,202,516,613,160,175,812,76,800,312,472,179,911,0.229100015854184
"9606.ENSP00000244007","9606.ENSP00000409667",258,199,202,516,662,160,175,812,76,900,312,113,78,911,0.228075236655878
"9606.ENSP00000244007","9606.ENSP00000451040",258,199,202,516,700,160,71,175,244,900,312,101,370,906,0.0432168144519171
"9606.ENSP00000244741","9606.ENSP00000257904",258,278,4,219,764,160,90,999,83,900,312,973,85,999,0.265436611120194
"9606.ENSP00000244741","9606.ENSP00000261254",258,278,4,219,764,160,90,998,68,900,312,723,81,999,0.106489879377991
"9606.ENSP00000244741","9606.ENSP00000262662",258,278,4,219,764,160,90,999,149,900,312,811,130,982,0.115948210231322
"9606.ENSP00000244741","9606.ENSP00000265741",258,278,4,219,764,160,90,764,75,720,312,810,85,987,0.00446445753979547
"9606.ENSP00000244741","9606.ENSP00000267163",258,278,4,219,764,160,90,570,792,900,312,700,106,986,0.191442564890813
"9606.ENSP00000244741","9606.ENSP00000269305",258,278,4,219,764,160,90,999,77,900,312,981,86,999,0.0516263730494584
"9606.ENSP00000244741","9606.ENSP00000276925",258,278,4,219,764,160,90,999,78,900,312,815,102,981,0.13534993934939
"9606.ENSP00000244741","9606.ENSP00000314897",258,278,4,219,764,160,71,67,74,900,312,198,91,918,0.294719261640565
"9606.ENSP00000244741","9606.ENSP00000329357",258,278,4,219,764,160,90,567,93,900,312,908,106,995,0.0845696187462722
"9606.ENSP00000244741","9606.ENSP00000337056",258,278,4,219,764,160,90,564,93,900,312,756,143,977,0.0313966910818464
"9606.ENSP00000244741","9606.ENSP00000356150",258,278,4,219,764,160,89,809,82,900,312,503,105,901,0.113729318736126
"9606.ENSP00000244741","9606.ENSP00000361021",258,278,4,219,764,160,89,566,82,900,312,937,64,938,0.130496331616562
"9606.ENSP00000244741","9606.ENSP00000362082",258,278,4,219,764,160,89,999,68,800,312,725,81,999,0.211399315736604
"9606.ENSP00000244741","9606.ENSP00000369375",258,278,4,219,764,160,71,818,74,900,312,301,102,927,0.0200892739576327
"9606.ENSP00000244741","9606.ENSP00000394932",258,278,4,219,764,160,71,808,120,900,312,972,102,999,0.238445587133802
"9606.ENSP00000244741","9606.ENSP00000417281",258,278,4,219,726,160,71,997,792,900,312,725,64,999,0.193109001609313
"9606.ENSP00000245414","9606.ENSP00000269305",258,119,45,526,738,160,81,917,101,900,312,913,145,913,0.0133365480613202
"9606.ENSP00000245414","9606.ENSP00000276927",258,119,45,526,738,160,157,917,101,900,312,926,132,926,0.0558256305911456
"9606.ENSP00000245414","9606.ENSP00000315768",258,119,45,526,669,160,111,456,149,900,312,810,388,988,0.383280850697319
"9606.ENSP00000245414","9606.ENSP00000369553",258,119,45,526,715,160,111,576,100,900,312,130,287,909,0.172901959491271
"9606.ENSP00000245414","9606.ENSP00000369554",258,119,45,526,715,160,111,576,100,900,312,876,287,987,0.0340478702990442
"9606.ENSP00000245414","9606.ENSP00000369558",258,119,45,526,715,160,111,576,100,900,312,126,287,908,0.055981697317862
"9606.ENSP00000245414","9606.ENSP00000369564",258,119,45,526,715,160,111,576,100,900,312,119,287,908,0
"9606.ENSP00000245414","9606.ENSP00000369566",258,119,45,526,715,160,111,576,100,900,312,137,287,910,0.0725682696349169
"9606.ENSP00000245414","9606.ENSP00000369571",258,119,45,526,715,160,111,576,100,900,312,62,287,902,0.070016693398749
"9606.ENSP00000245414","9606.ENSP00000369574",258,119,45,526,715,160,111,576,100,900,312,234,287,920,0.145543056265316
"9606.ENSP00000245414","9606.ENSP00000369581",258,119,45,526,715,160,111,576,100,900,312,440,105,945,0.253191317273
"9606.ENSP00000245414","9606.ENSP00000377218",258,119,45,526,888,160,118,576,149,900,312,979,115,960,0.556945699268039
"9606.ENSP00000245414","9606.ENSP00000380073",258,119,45,526,708,160,183,720,149,900,312,660,106,979,0.408870104582619
"9606.ENSP00000245414","9606.ENSP00000411940",258,119,45,526,708,160,77,567,96,900,312,130,74,909,0.130957147111521
"9606.ENSP00000245414","9606.ENSP00000412897",258,119,45,526,708,160,77,567,96,900,312,242,74,920,0.0833033671650378
"9606.ENSP00000245503","9606.ENSP00000252172",258,119,45,526,986,160,77,323,190,900,312,748,173,901,0.030641618581982
"9606.ENSP00000245503","9606.ENSP00000303351",258,119,45,526,706,160,70,576,222,900,312,97,100,914,0.0587970603289482
"9606.ENSP00000245503","9606.ENSP00000326514",258,119,45,526,752,160,289,323,252,900,312,265,484,922,0.0242192046406403
"9606.ENSP00000251775","9606.ENSP00000261383",258,283,197,524,710,160,73,575,100,900,312,42,63,902,0.226807707525691
"9606.ENSP00000251775","9606.ENSP00000273130",258,283,197,524,710,160,65,159,191,900,312,101,222,906,0.4706349444554
"9606.ENSP00000251775","9606.ENSP00000311273",258,283,197,524,653,160,63,255,486,900,312,407,63,902,0.0542603356299137
"9606.ENSP00000251775","9606.ENSP00000333363",258,283,197,524,620,160,76,575,107,900,312,53,63,903,0.0135853234262961
"9606.ENSP00000251775","9606.ENSP00000373825",258,283,197,524,625,160,105,575,149,900,312,864,63,902,0.0056392539565473
"9606.ENSP00000251775","9606.ENSP00000401514",258,283,197,524,625,160,67,575,149,900,312,281,63,902,0.182482623781409
"9606.ENSP00000252172","9606.ENSP00000384330",258,232,1,224,986,160,65,200,158,900,312,759,160,901,0.284390759443415
"9606.ENSP00000252936","9606.ENSP00000257287",258,199,82,277,614,160,99,154,111,900,312,206,64,919,0.047651444070263
"9606.ENSP00000252936","9606.ENSP00000408910",258,199,82,277,657,160,157,165,311,900,312,126,98,908,0.104700629433977
"9606.ENSP00000252945","9606.ENSP00000304845",258,71,82,527,616,160,72,159,111,900,312,581,349,970,0.0226036221348643
"9606.ENSP00000252999","9606.ENSP00000282588",258,67,82,525,656,160,84,201,250,900,312,159,174,912,0.164719016127407
"9606.ENSP00000252999","9606.ENSP00000303351",258,67,82,525,656,160,84,571,159,900,312,481,373,964,0.0579210561773103
"9606.ENSP00000252999","9606.ENSP00000341189",258,67,82,525,735,160,227,812,198,900,312,46,102,906,0.00457748771764181
"9606.ENSP00000252999","9606.ENSP00000346067",258,67,82,525,735,160,227,812,198,900,312,43,168,913,0.443652230094341
"9606.ENSP00000252999","9606.ENSP00000354923",258,67,82,525,681,160,227,299,241,900,312,191,199,916,0.011084813876716
"9606.ENSP00000252999","9606.ENSP00000374309",258,67,82,525,631,160,227,301,253,900,312,505,187,920,0.0904393519560457
"9606.ENSP00000252999","9606.ENSP00000386896",258,67,82,525,631,160,227,576,159,900,312,610,192,965,0.0125141699766724
"9606.ENSP00000252999","9606.ENSP00000400365",258,67,82,525,625,160,227,576,159,900,312,419,187,918,0.171412904033953
"9606.ENSP00000254770","9606.ENSP00000265724",258,85,174,214,831,160,229,325,102,900,312,918,107,918,0.0950826983102622
"9606.ENSP00000256078","9606.ENSP00000263967",258,83,81,285,681,160,82,573,643,900,312,972,372,997,0.253631268704157
"9606.ENSP00000256078","9606.ENSP00000269305",258,83,81,384,693,160,71,576,149,900,312,980,166,983,0.206531503523745
"9606.ENSP00000256078","9606.ENSP00000275493",258,83,81,417,821,160,92,576,590,900,312,973,586,999,0.0585743105854065
"9606.ENSP00000256078","9606.ENSP00000288135",258,83,81,317,780,160,65,576,113,900,312,645,92,967,0.177573072292799
"9606.ENSP00000256078","9606.ENSP00000289153",258,83,81,317,780,160,65,576,804,900,312,345,372,912,0.143478367130501
"9606.ENSP00000256078","9606.ENSP00000309845",258,83,81,527,983,160,79,576,98,900,312,581,131,901,0.400448541405012
"9606.ENSP00000256078","9606.ENSP00000340944",258,119,81,290,816,160,69,567,361,900,312,581,387,981,0.342611078940428
"9606.ENSP00000256078","9606.ENSP00000341189",258,119,81,290,816,160,69,567,98,900,312,349,116,937,0.226108039868274
"9606.ENSP00000256078","9606.ENSP00000352121",258,119,81,338,744,160,113,576,640,900,312,324,372,926,0.0975772831250674
"9606.ENSP00000256078","9606.ENSP00000357130",258,119,81,473,738,160,103,159,128,900,312,160,101,917,0.0693479595825256
"9606.ENSP00000256078","9606.ENSP00000358548",258,119,81,527,983,160,110,811,395,900,312,400,379,901,0.272409801932818
"9606.ENSP00000256078","9606.ENSP00000361021",258,119,81,527,749,160,73,576,128,900,312,816,625,934,0.168685484683414
"9606.ENSP00000256078","9606.ENSP00000361125",258,119,81,527,749,160,73,829,361,900,312,923,755,923,0.0318643103441521
"9606.ENSP00000256078","9606.ENSP00000369375",258,119,81,527,787,160,87,576,113,900,312,255,92,931,0.176879587997297
"9606.ENSP00000256078","9606.ENSP00000384675",258,119,81,228,697,160,72,159,297,900,312,871,398,993,0.300336513852603
"9606.ENSP00000256078","9606.ENSP00000401303",258,119,81,303,783,160,65,321,98,900,312,350,364,955,0.237529325004457
"9606.ENSP00000256078","9606.ENSP00000428340",258,119,81,352,831,160,98,159,241,900,312,169,428,913,0.00426853792281098
"9606.ENSP00000257287","9606.ENSP00000408910",258,277,225,506,887,160,89,306,149,900,312,360,157,933,0.113699245661132
